motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_high_not_overlap	n_low_overlap	n_low_not_overlap	firth_status	converged	iterations	coefficient	standard_error	p_value	odds_ratio	ci_lower_95	ci_upper_95	log_likelihood_penalized	warning_text	model_context	analysis_version	pooling_strategy	global_fdr	cell_fdr
AHR	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
AIRE	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
AP1_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
AP1_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
ARI5A	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
ARI5B	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
BATF	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	4.17936323159474		0.0835501011579278	65.3242435531649	0.423117619608693	1422.74867742618	-72.3912733551916		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.167660685138141
BCL6_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
BCL6_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
CCAAT_CEBP	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
CENBP	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
