candidate_archetype	analysis_set	calderon_celltype	n_accessible_intragenic_motif_gene_rows	significant_qtl_overlap_true	significant_qtl_overlap_false	nonsignificant_qtl_overlap_true	nonsignificant_qtl_overlap_false	n_high_total	n_low_total	high_pip_overlap_fraction	low_pip_overlap_fraction	overlap_fraction_difference	fisher_odds_ratio	fisher_ci_lower	fisher_ci_upper	fisher_p_value	fdr_within_analysis_set	fdr_within_celltype	direction
GC-tract	sensitivity	Monocytes	2543302	38	1597	1104	157056	1635	158160	0.0232415902140673	0.0069802731411229	0.0162613170729444	3.38497765201475	2.37357210943459	4.6960977433559	5.085116e-10	1.8906464277e-06	1.454343405e-07	enrichment
KLF_SP_2	sensitivity	Monocytes	3363984	34	1601	1158	157002	1635	158160	0.0207951070336391	0.0073216995447647	0.0134734074888743	2.87920080367887	1.97710161046069	4.0636824021464	1.58032337e-07	0.0002937821145039	2.25986241926e-05	enrichment
KLF_SP_2	strict_primary	Monocytes	3363984	28	1228	772	94743	1256	95515	0.0222929936305732	0.0080825001308695	0.0142104934997037	2.79818347924242	1.8393034386163	4.09740385748152	3.2750519085e-06	0.0056199890750414	0.0009366648458402	enrichment
SMAD_1	sensitivity	Monocytes	61919	5	1630	20	158140	1635	158160	0.0030581039755351	0.000126454223571	0.0029316497519641	24.2430540537327	7.10349843129103	66.6915621653894	4.9945962302e-06	0.0061899695946308	0.0004761515072792	enrichment
SMAD_1	strict_primary	Monocytes	61919	5	1251	17	95498	1256	95515	0.0039808917197452	0.0001779825158352	0.00380290920391	22.4418104748677	6.46518765015	63.5104566423061	8.0084199434e-06	0.0068712243114449	0.0011452040519075	enrichment
KLF_SP_2	expanded_primary	Monocytes	3363984	28	1233	782	95967	1261	96749	0.0222045995241872	0.0080827708813527	0.0141218286428344	2.7867441191699	1.83193304802427	4.07987138036961	3.5154739526e-06	0.0100542555045834	0.0010054255504583	enrichment
SMAD_1	expanded_primary	Monocytes	61919	5	1256	17	96732	1261	96749	0.0039651070578905	0.0001757124104641	0.0037893946474263	22.6389305443789	6.52268901183774	64.0744928730583	7.6781604686e-06	0.0109797694701472	0.0010979769470147	enrichment
GC-tract	strict_primary	Monocytes	2543302	24	1232	730	94785	1256	95515	0.0191082802547771	0.0076427786211589	0.0114655016336181	2.52935503359537	1.60379367800129	3.8114983450632	7.06986144341e-05	0.0404396074563615	0.0067399345760602	enrichment
ZNF335	sensitivity	CD8pos_T	30669	2	10	0	1594	12	1594	0.166666666666667	0.0	0.166666666666667	inf	26.2308525822004	inf	5.12098322877e-05	0.0475995391115094	0.0146460120343106	enrichment
ZNF335	expanded_primary	CD8pos_T	30669	2	10	0	1594	12	1594	0.166666666666667	0.0	0.166666666666667	inf	26.2308525822004	inf	5.12098322877e-05	0.0488200401143686	0.0146460120343106	enrichment
