motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_low_overlap	model_status	converged	coefficient	standard_error	z_value	p_value	odds_ratio	ci_lower_95	ci_upper_95	vif_motif_overlap	vif_splice_distance	vif_tss_distance	vif_gc_fraction	valid_primary_model	p_adj_global_bh	p_adj_celltype_bh	significant_global_fdr	significant_celltype_fdr	effect_direction	max_vif
ZNF384_2	Naive_Tregs	strict_primary	77304	149	77155	13	2	11	fit_ok	True	4.72718185916382	0.794677331354617	5.94855505832261	2.7051989435629e-09	112.976728967545	23.798303335425	536.329884879088	1.00024531251803	2.07758605532728	2.08088054888103	1.00603108809734	True	1.94774323936529e-07	2.16415915485032e-08	True	True	enrichment	2.08088054888103
SMAD_1	Monocytes	strict_primary	96771	1256	95515	22	5	17	fit_ok	True	2.21798334531708	0.574946713100634	3.8577198456457	0.0001144497221822	9.18878156902406	2.97751121147733	28.3571414937992	1.00056812454732	1.72695131764501	1.74288411922138	1.02246757522534	True	0.0041201899985615	0.0073247822196649	True	True	enrichment	1.74288411922138
NFAC_2	Naive_Tregs	strict_primary	77304	149	77155	13	1	12	fit_ok	True	3.28594834502662	1.07958147977933	3.04372426405302	0.002336692042669	26.7343256615987	3.22189161343487	221.833709613355	1.00014286881086	2.0774246086355	2.08041323152987	1.00603227379709	True	0.0420783763310354	0.0062338335305237	True	True	enrichment	2.08041323152987
ZIC	Naive_Tregs	strict_primary	77304	149	77155	7	1	6	fit_ok	True	3.40563047909441	1.11894954451973	3.04359610830902	0.0023376875739464	30.1332881443473	3.36184312214762	270.094415889996	1.0003214895368	2.07743245400984	2.08039761007588	1.00620894522653	True	0.0420783763310354	0.0062338335305237	True	True	enrichment	2.08039761007588
CREB_ATF_3	Monocytes	strict_primary	96771	1256	95515	3	1	2	fit_ok	True	3.57533143400608	1.23267242013444	2.90047167082406	0.0037260151678941	35.7064531875452	3.18768035403713	399.961933956037	1.00001848190271	1.72684849013988	1.74288127212821	1.02210455669611	True	0.0446792638432541	0.0926681027860085	True	False	enrichment	1.74288127212821
NR_19	Naive_Tregs	strict_primary	77304	149	77155	4	1	3	fit_ok	True	3.6286992839174	1.26989760617814	2.85747391463967	0.0042702773200752	37.6637948387069	3.12583039974778	453.819068931784	1.00025557226407	2.07769671635672	2.08040767689083	1.00605437278789	True	0.0446792638432541	0.0085405546401505	True	True	enrichment	2.08040767689083
CENBP	Monocytes	strict_primary	96771	1256	95515	3	1	2	fit_ok	True	3.63281977277934	1.27375708503668	2.85205068961381	0.0043438173180941	37.8193082614703	3.11508327711207	459.153078790921	1.00009466309055	1.7268455579195	1.74292094195229	1.022166956496	True	0.0446792638432541	0.0926681027860085	True	False	enrichment	1.74292094195229
ZNF85_2	Monocytes	strict_primary	96771	1256	95515	2	1	1	fit_ok	True	4.17248422641004	1.52925247856969	2.72844692742467	0.0063633328839767	64.87641979998	3.23862665623677	1299.60946191741	1.00001242672892	1.72683842790619	1.74288145619516	1.02210460484064	True	0.0572699959557908	0.101813326143628	False	False	enrichment	1.74288145619516
NFI_3	Monocytes	strict_primary	96771	1256	95515	12	2	10	fit_ok	True	2.07868802379098	0.796791466495374	2.60882315034563	0.0090854182996132	7.99397412747564	1.67695013786131	38.1070497613299	1.00039791294007	1.72683785622424	1.74292877379664	1.02237784874178	True	0.068698643421762	0.11629335423505	False	False	enrichment	1.74292877379664
NR_15	Naive_Tregs	strict_primary	77304	149	77155	7	1	6	fit_ok	True	3.01080642549006	1.16156849193619	2.59201798808387	0.0095414782530225	20.3037668001132	2.08367295729407	197.844361722068	1.00057122046929	2.0773782863311	2.0807008422273	1.00616516663905	True	0.068698643421762	0.015266365204836	False	True	enrichment	2.0807008422273
ZNF547	Monocytes	strict_primary	96771	1256	95515	3	1	2	fit_ok	True	3.15281091545568	1.27131356832242	2.47996323960895	0.0131395928290446	23.40175256398	1.93679844068687	282.756332079412	1.00008914468144	1.72685438063357	1.74289361560327	1.02217762944265	True	0.0860046076082919	0.140155656843142	False	False	enrichment	1.74289361560327
MFZ1	Monocytes	strict_primary	96771	1256	95515	5	1	4	fit_ok	True	2.71689907927767	1.13115401483839	2.40188254087206	0.0163109448518791	15.1333221785344	1.64845289752982	138.928713403034	1.0002065306864	1.72685678689937	1.74300598393506	1.02221098550933	True	0.0978656691112746	0.149128638645752	False	False	enrichment	1.74300598393506
TEAD	Monocytes	strict_primary	96771	1256	95515	5	1	4	fit_ok	True	2.59534517731106	1.14750004261774	2.26173863261078	0.0237135563538066	13.4012123575866	1.41374907446356	127.032792379566	1.00006543536723	1.72683197022856	1.74291671988439	1.02211436473752	True	0.126273835487652	0.174600858945889	False	False	enrichment	1.74291671988439
ZNF490	Monocytes	strict_primary	96771	1256	95515	3	2	1	fit_ok	True	3.45694837593022	1.53754222097619	2.24835996616431	0.0245532457892657	31.7200310590838	1.55794184930909	645.82665318057	1.00025553500942	1.72714108416228	1.74288810585822	1.02210475039769	True	0.126273835487652	0.174600858945889	False	False	enrichment	1.74288810585822
CTCF	Naive_Tregs	strict_primary	77304	149	77155	14	1	13	fit_ok	True	2.40736759434928	1.12778857047873	2.13459123222662	0.0327944142572461	11.1046905857277	1.21762470302372	101.274352186288	1.00080283884931	2.07737170080298	2.08073308246933	1.00645918836752	True	0.157413188434781	0.0437258856763281	False	True	enrichment	2.08073308246933
IRF_2	Monocytes	strict_primary	96771	1256	95515	66	4	62	fit_ok	True	1.10888405231557	0.540369082261712	2.05208641411227	0.0401612650415618	3.03097409791184	1.05101950588739	8.74085012766337	1.00077242153469	1.72683855418649	1.74347142406939	1.02213957254659	True	0.175053289912427	0.240477246748384	False	False	enrichment	1.74347142406939
